import time: self [us] | cumulative | imported package
import time:       327 |       1430 |             multidict
import time:       410 |       1839 |           aiohttp.hdrs
import time:       168 |        168 |                 attr._compat
import time:       145 |        145 |                   attr._config
import time:       263 |        263 |                     attr.exceptions
import time:       132 |        394 |                   attr.setters
import time:      4520 |       5058 |                 attr._make
import time:       214 |       5438 |               attr.converters
import time:       147 |        147 |               attr.filters
import time:      4522 |       4522 |               attr.validators
import time:       174 |        174 |               attr._cmp
import time:       169 |        169 |               attr._funcs
import time:       183 |        183 |               attr._next_gen
import time:       643 |        643 |               attr._version_info
import time:       392 |      11666 |             attr
import time:       298 |        298 |                     yarl._quoting_c
import time:       125 |        423 |                   yarl._quoting
import time:       182 |        604 |                 yarl._quoters
import time:       312 |        916 |               yarl._query
import time:       188 |        188 |                   propcache
import time:       227 |        227 |                     propcache._helpers_c
import time:       133 |        359 |                   propcache._helpers
import time:       165 |        711 |                 propcache.api
import time:       222 |        222 |                 yarl._parse
import time:       122 |        122 |                 yarl._path
import time:      1452 |       2505 |               yarl._url
import time:       210 |       3630 |             yarl
import time:       718 |        718 |                 aiohttp.typedefs
import time:       393 |       1110 |               aiohttp.http_exceptions
import time:       860 |        860 |                   aiohttp.client_exceptions
import time:       327 |        327 |                       shlex
import time:       230 |        557 |                     netrc
import time:       162 |        162 |                     aiohttp.log
import time:      3878 |       4596 |                   aiohttp.helpers
import time:       152 |        152 |                   aiohttp.tcp_helpers
import time:       213 |       5819 |                 aiohttp.base_protocol
import time:        83 |         83 |                   brotlicffi
import time:        65 |         65 |                   brotli
import time:       272 |        419 |                 aiohttp.compression_utils
import time:      1292 |       1292 |                     http.cookies
import time:       627 |       1918 |                   aiohttp.abc
import time:       277 |        277 |                   aiohttp._http_writer
import time:       528 |       2721 |                 aiohttp.http_writer
import time:       728 |        728 |                 aiohttp.streams
import time:        89 |         89 |                   backports_abc
import time:       596 |        684 |                 aiohttp._http_parser
import time:      1977 |      12348 |               aiohttp.http_parser
import time:       113 |        113 |                   aiohttp._websocket
import time:       822 |        822 |                   aiohttp._websocket.models
import time:       177 |        177 |                   aiohttp._websocket.mask
import time:       767 |       1877 |                 aiohttp._websocket.helpers
import time:        87 |         87 |                     backports_abc
import time:       447 |        534 |                   aiohttp._websocket.reader_c
import time:       130 |        663 |                 aiohttp._websocket.reader
import time:       232 |        232 |                 aiohttp._websocket.writer
import time:       168 |       2939 |               aiohttp.http_websocket
import time:       259 |      16654 |             aiohttp.http
import time:      1082 |       1082 |             aiohttp.payload
import time:      1190 |       1190 |               aiohttp.multipart
import time:      1277 |       1277 |               aiohttp.formdata
import time:      2542 |       5008 |             aiohttp.client_reqrep
import time:       857 |        857 |             aiohttp.client_ws
import time:       261 |        261 |                   aiohappyeyeballs._staggered
import time:       197 |        197 |                   aiohappyeyeballs.types
import time:       384 |        841 |                 aiohappyeyeballs.impl
import time:       328 |        328 |                 aiohappyeyeballs.utils
import time:       201 |       1369 |               aiohappyeyeballs
import time:       281 |        281 |               aiohttp.client_proto
import time:        85 |         85 |                 aiodns
import time:       302 |        387 |               aiohttp.resolver
import time:     68024 |      70059 |             aiohttp.connector
import time:       376 |        376 |                 _compat_pickle
import time:       109 |        109 |                 _pickle
import time:        79 |         79 |                     org
import time:        16 |         94 |                   org.python
import time:        13 |        106 |                 org.python.core
import time:      1040 |       1629 |               pickle
import time:      1221 |       2850 |             aiohttp.cookiejar
import time:        90 |         90 |                       cpython
import time:        27 |        117 |                     cpython.bool
import time:      1420 |       1536 |                   frozenlist._frozenlist
import time:       252 |       1788 |                 frozenlist
import time:       215 |       2002 |               aiosignal
import time:      7833 |       9835 |             aiohttp.tracing
import time:      2267 |     123903 |           aiohttp.client
import time:       322 |        322 |           aiohttp.payload_streamer
import time:       326 |     126389 |         aiohttp
import time:      2444 |       2444 |             typing_extensions
import time:       942 |        942 |                           pydantic_core._pydantic_core
import time:       474 |        474 |                                 numbers
import time:       526 |        999 |                               _decimal
import time:       207 |       1206 |                             decimal
import time:     12311 |      13517 |                           pydantic_core.core_schema
import time:       687 |      15145 |                         pydantic_core
import time:       161 |      15305 |                       pydantic.version
import time:       247 |      15552 |                     pydantic._migration
import time:       173 |        173 |                         typing_inspection
import time:       652 |        652 |                         dataclasses
import time:      1688 |       1688 |                         typing_inspection.typing_objects
import time:       908 |       3420 |                       typing_inspection.introspection
import time:       152 |        152 |                       pydantic._internal
import time:       435 |        435 |                           pydantic._internal._namespace_utils
import time:       441 |        875 |                         pydantic._internal._typing_extra
import time:       274 |       1149 |                       pydantic._internal._repr
import time:       546 |       5265 |                     pydantic.errors
import time:       300 |      21116 |                   pydantic
import time:      9369 |       9369 |                     annotated_types
import time:      1638 |       1638 |                       fractions
import time:       553 |        553 |                           sysconfig
